post_id,altitude_m,temp_c,wind_kph,snowfall_cm_7d,acclimatized_days,shelter_quality_1to5,supply_gap_days,med_facility_score_1to5,risk_level,casualty_occurred
1024,3723,-29.7,21,22,14,3,3,3,Medium,0
1025,3240,-8.9,8,9,6,5,5,5,Low,1
1026,2421,-20.6,15,0,9,1,2,3,Low,0
1027,3116,-9.5,14,26,17,3,2,4,Low,0
1028,2748,-3.1,20,38,12,5,4,1,Low,0
1029,4321,-7.2,39,30,14,4,1,3,Low,1
1030,3260,-6.0,23,52,3,5,3,5,Low,0
1031,3680,-14.6,14,36,14,2,2,3,Low,0
1032,3293,-22.7,13,43,0,2,3,1,High,0
1033,3757,-17.4,27,33,2,5,6,3,High,0
1034,3930,-14.3,43,67,5,4,5,5,High,0
1035,4897,-12.1,30,20,12,4,5,4,Medium,1
1036,3226,-3.1,37,43,12,4,1,5,Low,0
1037,4125,-6.9,32,34,5,5,0,4,Low,0
1038,3666,2.0,12,44,0,5,3,5,Low,0
1039,3153,-19.0,34,36,14,1,3,2,High,0
1040,3195,-3.9,16,29,12,2,0,3,Low,0
1041,3782,-5.9,23,37,12,3,3,3,Low,0
1042,3322,-12.8,20,40,19,3,7,1,Medium,1
1043,3562,-18.7,26,42,10,2,6,2,High,0
1044,3898,-16.3,25,59,5,1,1,1,High,0
1045,4997,-16.6,24,33,16,2,4,3,High,1
1046,3519,-0.0,25,8,7,1,1,1,Medium,1
1047,2823,-6.2,30,33,9,1,2,4,Low,0
1048,3738,-5.9,25,21,7,4,1,2,Low,0
1049,3209,-11.4,26,20,5,2,0,5,Low,1
1050,4636,-13.6,47,23,7,3,4,4,High,1
1051,3201,-9.6,38,11,17,5,3,5,Low,1
1052,3511,-11.3,23,0,4,5,3,1,Medium,0
1053,3873,-12.7,29,59,15,2,4,3,Medium,0
1054,3794,-9.4,28,20,0,5,3,4,Medium,0
1055,4334,-19.5,28,0,18,1,0,2,Medium,0
1056,3900,-10.1,27,33,18,5,3,5,Low,0
1057,4905,-12.8,28,42,4,1,2,4,High,0
1058,3769,-17.0,25,26,10,1,2,3,Medium,0
1059,4279,-7.5,21,4,13,3,1,2,Low,0
1060,3218,0.6,24,1,6,5,0,2,Low,1
1061,4684,-3.1,10,75,19,3,1,5,Low,0
1062,3291,-14.0,34,1,10,5,4,4,Low,1
1063,4391,-7.3,32,0,7,1,2,4,Medium,1
1064,4035,-6.1,48,23,10,5,6,2,High,1
1065,3540,-11.2,16,46,6,3,2,1,Medium,0
1066,4397,-12.2,23,63,10,4,3,2,High,0
1067,3492,-9.6,39,25,7,3,3,3,Low,0
1068,4321,2.0,31,25,6,4,0,4,Low,0
1069,3726,-10.2,44,4,13,2,2,5,Low,0
1070,3273,-20.9,42,51,1,3,0,4,Medium,0
1071,3692,-19.3,5,28,18,5,2,2,Low,0
1072,3520,-13.2,30,29,11,4,0,3,Low,0
1073,3234,-20.7,30,38,19,5,2,1,Medium,1
1074,3639,-12.9,27,36,14,4,3,4,Low,0
1075,3742,2.0,23,27,3,3,3,2,Low,0
1076,2027,-15.6,43,56,10,3,0,2,Low,0
1077,3800,-19.6,27,0,1,5,3,2,High,1
1078,3944,-13.5,5,34,5,3,4,3,Low,0
1079,4370,-12.7,23,38,9,5,1,2,Medium,0
1080,2758,-18.9,48,21,6,1,4,2,High,0
1081,2889,-20.7,16,42,7,4,3,2,Medium,0
1082,3625,-2.5,40,43,6,5,2,4,Low,0
1083,3072,-8.5,38,52,21,4,4,2,Low,0
1084,2786,-15.4,25,27,10,1,6,3,Medium,1
1085,3251,-20.1,29,25,13,4,2,4,Low,0
1086,3284,-15.6,27,40,9,5,2,2,Low,0
1087,2890,-20.6,22,26,11,3,7,1,High,0
1088,2886,-16.1,21,0,0,4,2,3,Low,0
1089,3427,2.0,42,47,18,4,3,1,Low,0
1090,2630,-10.3,26,0,6,1,2,3,Low,0
1091,2621,-16.3,20,38,15,2,0,1,Low,1
1092,3542,-7.2,33,80,15,3,2,2,Low,0
1093,4403,-18.5,32,40,1,5,5,1,High,0
1094,3939,-14.8,13,16,10,1,1,1,High,0
1095,4233,-25.0,21,20,12,5,5,3,Medium,1
1096,2416,-3.1,11,37,10,5,4,2,Low,1
1097,2654,-13.4,53,29,9,4,0,3,Low,0
1098,3506,-17.7,24,45,7,1,0,2,High,0
1099,4001,-7.5,21,59,6,1,0,5,Medium,1
1100,3882,-19.3,22,56,15,3,2,4,Low,0
1101,2693,-18.9,20,6,11,2,0,4,Low,0
1102,4181,-14.7,26,30,10,5,5,3,Medium,0
1103,3451,-20.4,40,39,1,3,0,2,High,1
1104,3966,-16.6,28,60,8,3,1,1,High,0
1105,3136,-13.4,14,37,9,5,6,4,Low,0
1106,2573,-12.8,16,16,14,4,2,3,Low,0
1107,4007,-21.3,29,38,1,4,3,3,High,0
1108,3781,-13.7,19,66,4,5,3,3,Medium,1
1109,2752,-7.9,26,24,18,1,0,2,Low,0
1110,3099,-6.8,54,15,6,2,4,3,Medium,0
1111,3911,-15.5,17,29,0,4,4,5,Medium,0
1112,3623,-13.3,13,16,6,2,4,1,High,0
1113,3801,-13.7,20,46,6,3,1,3,Low,1
1114,3185,-21.7,10,17,13,3,3,2,Low,0
1115,4353,-15.8,40,55,13,5,2,1,High,0
1116,3433,-6.4,16,39,5,5,3,1,Medium,0
1117,2079,-6.3,18,43,8,5,1,4,Low,1
1118,3564,-9.1,14,43,12,4,2,3,Low,0
1119,3862,-30.6,11,47,12,2,4,3,High,0
1120,3678,-17.5,27,23,4,3,0,2,Medium,1
1121,3244,-8.7,20,10,5,2,2,5,Low,0
1122,2327,-0.0,9,20,20,4,4,5,Low,1
1123,3110,-12.1,24,48,8,2,0,4,Low,0
1124,3166,-11.3,31,0,17,2,3,5,Low,0
1125,3104,-12.8,23,0,11,5,3,2,Low,0
1126,3867,-21.1,33,34,15,2,2,4,Medium,0
1127,3299,-9.5,44,46,13,2,3,3,Medium,0
1128,4329,-22.6,36,49,10,2,6,5,High,0
1129,3364,-12.6,30,10,10,1,1,2,Medium,0
1130,4229,-11.4,36,6,3,3,0,2,Medium,0
1131,3628,-11.7,50,16,9,3,2,3,Low,0
1132,3658,-21.1,13,22,7,2,1,2,Medium,0
1133,3090,-17.0,34,23,8,5,3,4,Low,0
1134,2689,-7.2,18,32,8,5,2,4,Low,0
1135,3456,-11.5,30,58,10,5,4,1,High,0
1136,4512,-16.9,14,28,13,3,3,3,Low,1
1137,3224,-19.5,35,48,9,4,1,2,Medium,1
1138,3129,-6.4,30,43,14,2,1,5,Low,1
1139,3396,-11.8,42,15,7,3,0,4,Low,0
1140,4560,-19.9,25,42,10,5,5,3,High,0
1141,3972,-13.3,24,41,22,3,4,3,Low,0
1142,4228,-17.6,25,29,3,3,2,4,Medium,1
1143,2311,-9.9,52,33,7,3,4,1,Medium,0
1144,3005,-3.2,34,28,0,5,0,3,Low,0
1145,3026,-19.6,41,8,11,4,1,2,Low,0
1146,4181,-10.9,35,77,10,1,1,5,High,0
1147,3895,-11.0,36,51,10,2,3,5,Medium,0
1148,4133,-27.0,13,40,5,2,1,4,High,0
1149,2374,-6.2,22,21,6,3,0,3,Low,1
1150,4166,2.0,21,28,10,4,3,5,Low,0
1151,3895,-11.0,28,6,2,5,4,3,Medium,0
1152,2945,-2.5,26,39,14,1,2,4,Low,0
1153,3381,-20.8,11,36,3,1,5,1,High,1
1154,2963,-17.0,28,25,9,3,4,5,Low,1
1155,3442,-11.5,7,30,7,3,5,2,Low,0
1156,3769,-18.0,35,24,7,5,4,4,Medium,0
1157,4342,-11.7,29,20,1,5,3,1,High,0
1158,2936,-5.0,40,14,9,5,0,2,Low,0
1159,3218,-18.2,30,9,3,3,2,2,Medium,0
1160,2838,-4.7,23,15,10,4,1,5,Low,0
1161,3959,-25.5,12,17,6,3,1,3,Medium,0
1162,2554,-16.0,24,51,9,3,1,4,Low,1
1163,3606,-13.4,20,17,0,1,0,2,High,0
1164,2764,-18.5,31,0,14,5,4,5,Low,0
1165,3527,-15.9,23,35,15,2,0,1,Medium,1
1166,4193,-2.2,34,42,7,5,4,2,Medium,0
1167,3193,-3.3,41,49,24,4,5,1,Low,0
1168,3632,-7.0,13,33,13,4,1,4,Low,1
1169,2964,-4.7,27,7,8,5,1,5,Low,1
1170,3432,-16.3,27,14,7,5,3,1,Medium,0
1171,2565,-20.6,31,42,6,3,2,3,Low,0
1172,3924,-17.7,34,59,7,2,1,1,High,0
1173,3250,-16.6,43,7,9,3,3,1,Medium,0
1174,3374,-16.3,16,34,9,1,1,5,Medium,0
1175,3541,-8.3,12,18,2,1,7,5,High,0
1176,2319,-9.7,29,13,16,4,4,2,Low,0
1177,3084,-13.2,32,30,13,4,4,1,Medium,0
1178,3581,-12.8,35,27,19,2,2,1,Medium,0
1179,3404,-4.3,20,0,11,4,6,5,Low,0
1180,4806,-21.0,12,34,15,1,1,3,High,1
1181,4255,-6.5,40,36,3,2,4,5,High,1
1182,3583,-26.8,33,44,13,1,0,3,High,1
1183,2886,-16.0,24,18,1,5,7,5,Medium,0
1184,3203,-1.4,6,0,5,5,4,4,Low,0
1185,3894,-9.9,21,21,22,2,1,1,Low,0
1186,3545,-15.3,34,44,8,3,4,3,Medium,0
1187,4265,-5.6,32,28,9,4,5,4,Medium,0
1188,3541,-7.8,14,46,13,2,1,3,Low,0
1189,3569,-8.1,34,3,9,4,2,2,Low,1
1190,4474,-13.4,27,46,4,1,1,2,High,0
1191,2842,-5.3,40,34,5,3,3,1,Medium,0
1192,4540,-16.5,21,22,14,4,3,4,Medium,1
1193,3961,-16.8,21,51,11,5,3,4,Medium,0
1194,5441,1.1,29,34,14,5,1,2,Medium,0
1195,3079,-15.5,23,10,12,1,2,1,Medium,1
1196,4477,-26.2,19,49,10,2,1,2,High,0
1197,3580,-4.6,46,25,10,4,3,4,Low,0
1198,3388,-2.5,42,30,10,1,0,3,Low,0
1199,3682,-13.7,18,12,8,5,1,4,Low,0
1200,3575,-26.7,30,28,8,5,4,1,High,0
